"encounter_year","EncounterClass","class_count","class_percentage"
2011,"ambulatory","667","49.93"
2011,"outpatient","327","24.48"
2011,"wellness","174","13.02"
2011,"inpatient","83","6.21"
2011,"emergency","55","4.12"
2011,"urgentcare","30","2.25"
2012,"ambulatory","895","42.50"
2012,"outpatient","444","21.08"
2012,"urgentcare","299","14.20"
2012,"wellness","192","9.12"
2012,"emergency","183","8.69"
2012,"inpatient","93","4.42"
2013,"ambulatory","1106","44.33"
2013,"outpatient","485","19.44"
2013,"urgentcare","359","14.39"
2013,"emergency","225","9.02"
2013,"wellness","186","7.45"
2013,"inpatient","134","5.37"
2014,"ambulatory","2341","60.26"
2014,"outpatient","694","17.86"
2014,"urgentcare","327","8.42"
2014,"emergency","216","5.56"
2014,"wellness","189","4.86"
2014,"inpatient","118","3.04"
2015,"ambulatory","1073","43.46"
2015,"outpatient","506","20.49"
2015,"urgentcare","380","15.39"
2015,"emergency","228","9.23"
2015,"wellness","171","6.93"
2015,"inpatient","111","4.50"
2016,"ambulatory","1073","43.78"
2016,"outpatient","481","19.62"
2016,"urgentcare","341","13.91"
2016,"emergency","250","10.20"
2016,"wellness","182","7.43"
2016,"inpatient","124","5.06"
2017,"ambulatory","987","41.82"
2017,"outpatient","475","20.13"
2017,"urgentcare","385","16.31"
2017,"emergency","218","9.24"
2017,"wellness","169","7.16"
2017,"inpatient","126","5.34"
2018,"ambulatory","933","40.71"
2018,"outpatient","480","20.94"
2018,"urgentcare","377","16.45"
2018,"emergency","247","10.78"
2018,"wellness","174","7.59"
2018,"inpatient","81","3.53"
2019,"ambulatory","846","37.97"
2019,"outpatient","456","20.47"
2019,"urgentcare","397","17.82"
2019,"emergency","227","10.19"
2019,"wellness","168","7.54"
2019,"inpatient","134","6.01"
2020,"ambulatory","1192","47.32"
2020,"outpatient","497","19.73"
2020,"urgentcare","365","14.49"
2020,"emergency","234","9.29"
2020,"wellness","159","6.31"
2020,"inpatient","72","2.86"
2021,"outpatient","1418","40.17"
2021,"ambulatory","1303","36.91"
2021,"urgentcare","378","10.71"
2021,"emergency","221","6.26"
2021,"wellness","155","4.39"
2021,"inpatient","55","1.56"
2022,"ambulatory","121","55.00"
2022,"outpatient","37","16.82"
2022,"urgentcare","28","12.73"
2022,"emergency","18","8.18"
2022,"wellness","12","5.45"
2022,"inpatient","4","1.82"
