"encounter_year","encounter_quarter","unique_patients"
2011,"1","156"
2011,"2","162"
2011,"3","155"
2011,"4","168"
2012,"1","249"
2012,"2","261"
2012,"3","232"
2012,"4","240"
2013,"1","243"
2013,"2","271"
2013,"3","259"
2013,"4","242"
2014,"1","394"
2014,"2","315"
2014,"3","272"
2014,"4","260"
2015,"1","244"
2015,"2","259"
2015,"3","252"
2015,"4","244"
2016,"1","237"
2016,"2","245"
2016,"3","241"
2016,"4","258"
2017,"1","235"
2017,"2","256"
2017,"3","234"
2017,"4","243"
2018,"1","250"
2018,"2","256"
2018,"3","228"
2018,"4","241"
2019,"1","229"
2019,"2","231"
2019,"3","226"
2019,"4","232"
2020,"1","229"
2020,"2","235"
2020,"3","249"
2020,"4","258"
2021,"1","417"
2021,"2","414"
2021,"3","279"
2021,"4","223"
2022,"1","103"
